Timestamp,Temp (?øC),Pressure (bar),Coke Flow (kg/min),Iron Ore (kg/min),CO2 (%),Energy (MW)
10:40:00,1499,2.7,483,1229,12.8,116
10:50:00,1492,2.6,500,1182,12.1,119
11:00:00,1500,2.5,492,1194,12.1,120
11:10:00,1493,2.6,497,1245,12.6,117
11:20:00,1482,2.7,508,1242,12.5,118
11:30:00,1495,2.6,493,1197,12.6,119
11:40:00,1503,2.6,484,1222,12.4,120
11:50:00,1493,2.8,493,1237,12.2,117
12:00:00,1513,2.7,497,1226,12.7,120
12:10:00,1499,2.6,485,1197,12.6,117
12:20:00,1489,2.8,497,1220,12,116
12:30:00,1490,2.5,486,1199,12.5,120
12:40:00,1509,2.7,517,1244,12.3,118
12:50:00,1486,2.6,496,1190,12.1,115
13:00:00,1498,2.8,509,1223,12.8,116
13:10:00,1488,2.7,507,1234,12.6,118
13:20:00,1498,2.7,510,1239,12.3,118
13:30:00,1482,2.5,497,1181,12.8,119
13:40:00,1501,2.7,490,1244,12.2,120
13:50:00,1506,2.5,508,1218,12.7,119
14:00:00,1486,2.6,484,1229,12.8,116
14:10:00,1497,2.8,515,1210,12.4,119
14:20:00,1512,2.5,501,1212,12.2,120
14:30:00,1502,2.6,492,1222,12.2,115
14:40:00,1508,2.7,508,1241,12.7,120
14:50:00,1493,2.7,482,1215,12.1,118
15:00:00,1493,2.6,500,1226,12.4,120
15:10:00,1495,2.6,497,1226,12.2,120
15:20:00,1516,2.6,491,1189,12.7,115
15:30:00,1509,2.6,482,1224,12.2,116
15:40:00,1491,2.6,513,1247,12.5,116
15:50:00,1510,2.5,508,1231,12.2,116
16:00:00,1517,2.6,484,1223,12.9,120
16:10:00,1492,2.7,486,1235,12.3,117
16:20:00,1485,2.5,511,1231,12.5,116
16:30:00,1515,2.6,504,1186,12.9,117
16:40:00,1505,2.7,508,1244,12.3,120
16:50:00,1486,2.5,502,1204,12.5,120
17:00:00,1514,2.5,497,1189,12.1,116
17:10:00,1485,2.7,481,1244,12.4,116
17:20:00,1491,2.6,490,1240,12.8,120
17:30:00,1497,2.5,513,1248,12.5,120
17:40:00,1501,2.8,491,1192,12.9,117
17:50:00,1495,2.6,516,1239,13,117
18:00:00,1499,2.7,515,1194,12.8,118
18:10:00,1519,2.7,499,1198,12.3,118
18:20:00,1508,2.7,508,1240,12.6,116
18:30:00,1495,2.6,482,1238,12.9,115
18:40:00,1486,2.6,494,1221,12.6,115
18:50:00,1513,2.6,516,1190,12.6,119
19:00:00,1506,2.7,497,1193,12.2,117
19:10:00,1491,2.6,505,1243,12.4,119
19:20:00,1502,2.6,515,1199,12.3,117
19:30:00,1483,2.5,486,1196,12.5,116
19:40:00,1495,2.5,513,1234,12.8,118
19:50:00,1502,2.7,502,1235,12.9,119
20:00:00,1513,2.6,515,1243,12.5,116
20:10:00,1502,2.8,487,1222,12.9,117
20:20:00,1496,2.7,481,1243,12.4,115
20:30:00,1508,2.5,492,1190,12.3,118
20:40:00,1495,2.8,498,1180,12.1,118
20:50:00,1515,2.7,484,1232,12.8,117
21:00:00,1487,2.7,483,1239,12.1,119
21:10:00,1502,2.6,507,1183,12,118
21:20:00,1498,2.8,480,1216,12.3,116
21:30:00,1499,2.6,484,1194,12.1,120
21:40:00,1485,2.7,486,1221,12.5,117
21:50:00,1487,2.5,484,1207,12.9,117
22:00:00,1516,2.7,503,1225,12.8,118
22:10:00,1505,2.5,503,1195,12.8,115
22:20:00,1505,2.6,490,1193,12.1,116
22:30:00,1512,2.5,504,1202,12.1,118
22:40:00,1488,2.6,507,1182,12,117
22:50:00,1495,2.6,503,1238,12.4,115
23:00:00,1514,2.6,517,1204,12.9,118
23:10:00,1496,2.5,501,1201,12.3,120
23:20:00,1505,2.6,516,1194,12.7,120
23:30:00,1505,2.7,500,1228,12.2,118
23:40:00,1502,2.7,491,1197,12.8,117
23:50:00,1516,2.7,500,1212,12.8,116
